dl | Identificador[0] | 69  | 20 
= | Delimitador | 69  | 23 
str | Identificador[1] | 69  | 25 
( | Delimitador | 69  | 28 
condicao | Identificador[2] | 69  | 29 
[ | Delimitador | 69  | 37 
0 | Identificador[3] | 69  | 38 
] | Delimitador | 69  | 39 
) | Delimitador | 69  | 40 
s | Identificador[0] | 70  | 20 
= | Delimitador | 70  | 22 
linha | Identificador[1] | 70  | 24 
. | Delimitador | 70  | 29 
replace | Identificador[2] | 70  | 30 
( | Delimitador | 70  | 37 
dl | Identificador[3] | 70  | 38 
, | Delimitador | 70  | 40 
' | Delimitador | 70  | 41 
' | Delimitador | 70  | 42 
) | Delimitador | 70  | 43 
data | Identificador[0] | 71  | 20 
+ | Operador | 71  | 25 
= | Delimitador | 71  | 26 
s | Identificador[1] | 71  | 28 
+ | Operador | 71  | 30 
' | Delimitador | 71  | 32 
| | Operador | 71  | 34 
Identificador | Identificador[2] | 71  | 36 
[ | Delimitador | 71  | 49 
' | Delimitador | 71  | 50 
+ | Operador | 71  | 51 
str | Identificador[3] | 71  | 52 
( | Delimitador | 71  | 55 
contId | Identificador[4] | 71  | 56 
) | Delimitador | 71  | 62 
+ | Operador | 71  | 63 
' | Delimitador | 71  | 64 
] | Delimitador | 71  | 65 
| | Operador | 71  | 67 
' | Delimitador | 71  | 69 
+ | Operador | 71  | 72 
numLinha | Identificador[5] | 71  | 74 
+ | Operador | 71  | 83 
' | Delimitador | 71  | 84 
| | Operador | 71  | 87 
' | Delimitador | 71  | 89 
+ | Operador | 71  | 90 
str | Identificador[6] | 71  | 92 
( | Delimitador | 71  | 95 
coluna | Identificador[7] | 71  | 96 
) | Delimitador | 71  | 102 
+ | Operador | 71  | 104 
' | Delimitador | 71  | 105 
\n | Identificador[8] | 71  | 107 
' | Delimitador | 71  | 109 
data | Identificador[0] | 72  | 20 
+ | Operador | 72  | 25 
= | Delimitador | 72  | 26 
condicao | Identificador[1] | 72  | 28 
[ | Delimitador | 72  | 36 
0 | Identificador[2] | 72  | 37 
] | Delimitador | 72  | 38 
+ | Operador | 72  | 40 
' | Delimitador | 72  | 42 
| | Operador | 72  | 44 
Delimitador | Identificador[3] | 72  | 46 
| | Operador | 72  | 58 
' | Delimitador | 72  | 60 
+ | Operador | 72  | 63 
numLinha | Identificador[4] | 72  | 65 
+ | Operador | 72  | 74 
' | Delimitador | 72  | 75 
| | Operador | 72  | 78 
' | Delimitador | 72  | 80 
+ | Operador | 72  | 81 
str | Identificador[5] | 72  | 83 
( | Delimitador | 72  | 86 
coluna | Identificador[6] | 72  | 87 
+ | Operador | 72  | 94 
len | Palavra Reservada | 72  | 96 
( | Delimitador | 72  | 97 
s | Identificador[7] | 72  | 100 
) | Delimitador | 72  | 101 
) | Delimitador | 72  | 102 
+ | Operador | 72  | 104 
' | Delimitador | 72  | 105 
\n | Identificador[8] | 72  | 107 
' | Delimitador | 72  | 109 
linha | Identificador[0] | 73  | 20 
= | Delimitador | 73  | 26 
' | Delimitador | 73  | 28 
' | Delimitador | 73  | 29 
coluna | Identificador[0] | 74  | 20 
= | Delimitador | 74  | 27 
i | Identificador[1] | 74  | 29 
+ | Operador | 74  | 31 
1 | Identificador[2] | 74 
contId | Identificador[0] | 75  | 20 
+ | Operador | 75  | 27 
= | Delimitador | 75  | 28 
1 | Identificador[1] | 75 
elif | Palavra Reservada | 76  | 12 
( | Delimitador | 76  | 14 
str | Identificador[0] | 76  | 17 
( | Delimitador | 76  | 20 
condicao | Identificador[1] | 76  | 21 
[ | Delimitador | 76  | 29 
0 | Identificador[2] | 76  | 30 
] | Delimitador | 76  | 31 
) | Delimitador | 76  | 32 
= | Delimitador | 76  | 34 
= | Delimitador | 76  | 35 
' | Delimitador | 76  | 37 
' | Delimitador | 76  | 39 
) | Delimitador | 76  | 40 
: | Delimitador | 76  | 41 
if | Palavra Reservada | 77  | 16 
( | Delimitador | 77  | 16 
len | Palavra Reservada | 77  | 19 
( | Delimitador | 77  | 20 
linha | Identificador[0] | 77  | 23 
) | Delimitador | 77  | 28 
= | Delimitador | 77  | 30 
= | Delimitador | 77  | 31 
1 | Identificador[1] | 77  | 33 
) | Delimitador | 77  | 34 
: | Delimitador | 77  | 35 
linha | Identificador[0] | 78  | 20 
= | Delimitador | 78  | 26 
' | Delimitador | 78  | 28 
' | Delimitador | 78  | 29 
coluna | Identificador[0] | 79  | 20 
= | Delimitador | 79  | 27 
i | Identificador[1] | 79  | 29 
+ | Operador | 79  | 31 
1 | Identificador[2] | 79 
else | Palavra Reservada | 80  | 16 
: | Delimitador | 80  | 18 
s | Identificador[0] | 81  | 20 
= | Delimitador | 81  | 22 
linha | Identificador[1] | 81  | 24 
. | Delimitador | 81  | 29 
replace | Identificador[2] | 81  | 30 
( | Delimitador | 81  | 37 
" | Identificador[3] | 81  | 38 
" | Identificador[4] | 81  | 40 
, | Delimitador | 81  | 41 
' | Delimitador | 81  | 42 
' | Delimitador | 81  | 43 
) | Delimitador | 81  | 44 
data | Identificador[0] | 82  | 20 
+ | Operador | 82  | 25 
= | Delimitador | 82  | 26 
s | Identificador[1] | 82  | 28 
+ | Operador | 82  | 30 
' | Delimitador | 82  | 32 
| | Operador | 82  | 34 
Identificador | Identificador[2] | 82  | 36 
[ | Delimitador | 82  | 49 
